streetAddress,addressLoc,addressReg,postalCode,latitute,longitude,price,beds,baths,sqft
17118 Ivy Creek Ln,Houston,TX,77060,29.947718,-95.390945,$110000,3bd,2ba,2093 sqft
902 Constance Dr,Houston,TX,77024,29.778328,-95.526794,$1300000,3bd,3ba,1912 sqft
5812 E Post Oak Ln,Houston,TX,77055,29.7916,-95.4569,$403990,4bd,3ba,2300 sqft
9131 Colendale Dr,Houston,TX,77037,29.891022,-95.40462,$158900,3bd,2ba,1261 sqft
5303 Prairie Creek Dr,Houston,TX,77084,29.852377,-95.63331,$165000,3bd,2ba,1635 sqft
4005 Norhill Blvd,Houston,TX,77009,29.7932,-95.38648,$549000,2bd,2ba,1140 sqft
9514 Twilight Moon Dr,Houston,TX,77064,29.925924,-95.56581,$189900,3bd,2ba,1875 sqft
17203 Rolling Creek Dr,Houston,TX,77090,30.01577,-95.455864,$239900,4bd,3ba,2444 sqft
7555 Katy Fwy #41,Houston,TX,77024,29.782728,-95.46275,$109900,1bd,1ba,732 sqft
3758 Drummond St,Houston,TX,77025,29.696262,-95.436874,$1945000,4bd,5ba,6076 sqft
3744 Parkwood Dr,Houston,TX,77021,29.706367,-95.35832,$350000,3bd,2ba,1899 sqft
3806 Antibes Ln,Houston,TX,77082,29.719248,-95.5789,$810000,4bd,3ba,3671 sqft
8311 Livingston St,Houston,TX,77051,29.67166,-95.37183,$220000,4bd,2ba,1741 sqft
1607 Crescent Green Dr,Houston,TX,77094,29.768223,-95.708405,$385000,4bd,3ba,2885 sqft
300 E 26th St,Houston,TX,77008,29.810331,-95.39586,$899000,3bd,3ba,2648 sqft
243 Neyland St,Houston,TX,77022,29.826384,-95.371605,$235000,3bd,2ba,1195 sqft
2335 University Blvd #4,Houston,TX,77005,29.714819,-95.414185,$2000000,3bd,3ba,4304 sqft
8622 Connaught Garden Dr,Houston,TX,77083,29.6846,-95.6187,$130000,4bd,2ba,2088 sqft
1127 Coachlight Dr,Houston,TX,77077,29.767052,-95.63173,$350000,4bd,3ba,2403 sqft
3101 Southmore Blvd,Houston,TX,77004,29.717915,-95.36929,$250000,3bd,2ba,2524 sqft
11407 Cold Spring Dr,Houston,TX,77043,29.79001,-95.584015,$389500,4bd,3ba,2627 sqft
15226 Jupiter Dr,Houston,TX,77053,29.605062,-95.4412,$110000,3bd,1ba,1054 sqft
4511 Alvin St #2,Houston,TX,77051,29.664618,-95.35988,$99500,3bd,2ba,1598 sqft
13010 Wood Stork Ln,Houston,TX,77044,29.92579,-95.1898,$255000,3bd,4ba,2420 sqft
18313 Sandy Cv,Houston,TX,77058,29.55249,-95.078415,$368750,3bd,2ba,2958 sqft
7318 Hoffman St,Houston,TX,77028,29.826567,-95.31073,$249900,3bd,3ba,2292 sqft
2514 Nantucket Dr #D,Houston,TX,77057,29.740067,-95.487854,$539000,3bd,3ba,2536 sqft
1231 Berkeley Lake Ln,Houston,TX,77062,29.583227,-95.14091,$203900,5bd,8ba,1768 sqft
3210 Winbern St,Houston,TX,77004,29.726532,-95.35986,$205000,2bd,3ba,1736 sqft
93 Litchfield Ln,Houston,TX,77024,29.763597,-95.55179,$229000,4bd,2ba,1459 sqft
6110 Henniker Ct,Houston,TX,77041,29.85971,-95.6079,$169000,3bd,2ba,1440 sqft
1611 Briarpark Dr,Houston,TX,77042,29.74598,-95.548225,$592000,3bd,2ba,2467 sqft
7912 Nashville St,Houston,TX,77028,29.82398,-95.2839,$24900,3bd,3ba,1636 sqft
339 Gilpin St,Houston,TX,77034,29.64324,-95.2219,$165000,3bd,2ba,1418 sqft
